id	Col_0_1	Col_0_2	Col_0_3	Col_48_1	Col_48_2	Col_48_3	col0_1	col0_2	col0_3	bmi1abc_1	bmi1abc_2	clfswn_1	clfswn_2	clfswn_3
AT3G20650	10.65411757	12.52392543	12.65135112	9.916968724	11.90098578	10.64592535	9.756178	11.11097	10.60343	6.245143	7.140723	13.21156	12.92428	11.6422
AT3G20660	31.11825794	31.07273592	30.7494847	11.91812841	11.76961744	10.95565661	5.88724	6.481761	7.187897	12.70488	14.60128	13.39276	11.78461	12.45132
AT3G20670	50.33395401	53.9799816	56.52282217	109.4447172	90.62868265	100.8889044	19.07943	23.60012	28.00096	19.39753	20.35583	35.02344	35.87874	35.29572
AT3G20680	3.843555545	3.174344742	2.702212366	56.23420581	52.83853291	61.381251	43.72366	49.45307	48.59958	1.182358	1.970153	23.02283	19.87194	24.15772
AT3G20690	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G20710	1.686231214	2.088956095	1.7147485	1.211115615	0.934926313	1.219936436	0.566541	0.342299	0.28616	0.541793	0.508412	1.798105	2.308428	2.373119
AT3G20720	1.090538682	1.415061243	1.195108808	8.123361872	6.93388097	8.84949145	8.989626	9.903536	9.857862	6.244004	6.592198	11.59812	11.16666	11.82317
AT3G20730	0.283164395	0.320724964	0.191968819	0.813517902	1.25599783	0.877974569	0.787012	0.669794	0.577976	0.371105	0.401992	0.732751	0.60897	0.795747
AT3G20740	2.289382132	2.138027073	1.671456277	12.58538473	11.61935863	12.45408372	13.85074	13.42582	13.45819	18.02837	18.31611	15.76167	15.35	14.34667
AT3G20750	0.057215712	0.226817976	0.108608892	0	0	0.165575233	0	0	0	0.148372	0.201234	0.470831	0.693689	0.716238
AT3G20760	0.05015094	0.024851422	0.023799573	0.036020319	0	0	0	0	0	0	0	0.087315	0	0.114543
AT3G20770	136.6881416	131.2713255	116.9581457	99.44153544	91.9169774	101.0296267	104.9522	105.652	110.199	42.87497	47.12295	65.61056	65.16939	70.90325
AT3G20780	0.314185143	0.573590913	0.439450698	6.128444027	5.834419561	5.909885549	5.887423	6.526091	7.474877	4.690871	3.962522	8.127451	7.211121	7.122839
AT3G20790	0.031164113	0.061771329	0.088735237	20.90596074	20.45188457	20.47202023	22.083	23.82586	23.41071	30.53387	25.94887	26.34458	25.35392	26.47308
AT3G20800	23.72755649	19.39825852	20.58842558	28.5168745	32.22797087	29.20869112	29.51835	26.88525	25.7344	19.57049	21.94993	16.02639	15.18141	15.90436
AT3G20810	13.29234754	13.11630506	11.21727193	5.396170745	5.954184894	5.435472243	58.16574	61.13602	59.62391	3.281086	6.967664	1.812067	2.027022	1.820243
AT3G20820	18.81495027	14.7871448	11.80905991	240.7021921	225.5655762	250.7249581	110.1586	116.2754	111.414	36.61836	38.8402	141.0071	135.3288	145.6352
AT3G20830	1.821031277	1.714522486	1.64195441	2.942851871	2.570058506	4.281745444	9.574663	12.90087	11.51001	2.760803	2.339324	5.652423	5.283331	4.553437
AT3G20840	0.148091867	0.073384339	0.117130513	2.304579998	3.03057345	2.392791369	0.828479	0.931338	0.787949	2.818021	2.933119	1.065189	1.004158	1.368768
AT3G20850	0	0	0	0.195967687	0	0.197394963	1.481075	1.666169	1.304958	0.043146	0.108545	0.167488	0.492408	0.345326
AT3G20860	0	0	0	2.452768069	1.556338533	2.213274606	5.444352	6.620855	7.508877	0.500896	0.727852	5.796161	5.312143	3.884012
AT3G20865	8.388646041	7.620886326	5.63961729	0.502087146	0	0.252871978	0.859039	0.991713	0.43012	0.127316	0.170539	0	0	0
AT3G20870	5.490530841	6.592988513	6.724775119	13.15593808	14.56535585	14.24069265	14.59989	15.86328	15.51805	21.08127	20.1261	17.18866	17.70525	15.61781
AT3G20880	0.034192851	0	0	0.540289428	0.386056529	0.346324666	0	0.063778	0.034842	0.172012	0.160517	0.22892	0.086538	0.269465
AT3G20890	2.547817061	2.209420958	2.153690077	7.89161389	8.483807768	9.446744933	4.834597	8.327119	5.258004	5.905413	6.622	5.971247	6.786649	5.837231
AT3G20898	0.481298567	0.238499102	0.532943834	7.259426994	8.830464019	9.285459044	2.450805	4.590519	3.69107	1.982348	2.046685	10.19754	10.59602	9.748939
AT3G20900	0	0	0	0	0	0.1689494	0	0	0	0.121591	0.141597	0	0	0.022737
AT3G20910	69.87870223	76.9294363	69.02390152	5.846823974	7.676188888	6.045763634	6.455274	5.761362	6.187367	20.39685	27.20153	20.72299	17.83574	18.66446
AT3G20920	12.349496	14.35817202	16.16465673	74.40107761	83.71168344	75.47635884	21.83682	23.32688	21.85739	45.54539	42.27898	36.48632	39.64825	36.52207
AT3G20930	4.573245351	5.714744762	5.365025443	19.30004142	18.32063111	18.86519875	13.13899	15.52387	16.21241	5.090054	6.11471	8.592638	7.642664	6.668684
AT3G20935	0.437146745	0.433240875	0.331922979	1.88385286	2.097643937	3.16262229	0.884429	1.258166	0.953176	4.457124	2.925004	0.767167	0.80469	0.972182
AT3G20940	0.038864548	0	0	7.760092533	7.130542651	9.110007056	1.637751	1.956977	3.068622	12.78243	8.4561	1.196067	1.305578	1.312175
AT3G20960	0.04113663	0.081538154	0.117130513	2.659130767	3.94787346	3.571330401	5.369957	8.121993	7.997393	2.167181	1.809555	10.71194	8.47586	8.838032
AT3G20970	17.62191548	17.86469243	16.34198484	46.40801827	48.03051192	45.94921094	24.15088	25.12147	21.93031	15.65897	15.07987	31.76229	30.67102	27.82972
AT3G21000	0.318319158	0.368054169	0.251768629	0.076209656	0.524125357	0.383823539	0.086984	0	0	1.474243	1.45089	0.32091	0.330959	0.401888
AT3G21055	0.605407002	0.59999774	0.191534172	386.1258563	358.4305424	376.9662775	1333.233	1213.127	1277.045	146.6965	160.5988	289.7509	216.5344	238.2511
AT3G21060	1.989071889	1.520716907	0.97090117	8.122766908	10.26639595	8.593078906	9.663908	9.303144	10.85385	6.474441	7.652217	8.702597	8.017991	7.740623
AT3G21070	13.72946662	12.98648519	10.29056268	19.80906291	17.410513	19.16455176	26.44759	30.66883	30.93026	33.95632	37.68346	31.16155	32.74551	29.30806
AT3G21080	0	0	0	0.324771702	0.446717892	0.327137086	1.670957	1.675726	1.64768	0.440199	0.28813	0.188526	0.063778	0.181067
AT3G21090	0.231535215	0.146024115	0.199776524	86.56537044	88.52506166	86.52581062	1.907641	3.030625	2.627618	85.23629	98.41209	50.58091	50.69017	50.35666
